státi(se)	stá-ti-(se)
potomka	po-t-o-m-k-a
dýmka	dým-k-a
prýmka	prýmk-a
banka	bank-a
baňka	baňk-a
databanka	dat-a-bank-a
spermobanka	sperm-o-bank-a
genobanka	gen-o-bank-a
vnitrobanka	v-nitr-o-bank-a
tačanka	tačank-a
bystričanka	bystr-ič-an-k-a
hanka	han-k-a
biopohanka	bio-po-han-k-a
strouhanka	strouh-a-n-k-a
krajánka	kraj-án-k-a
cikánka	cikán-k-a
dominikánka	dominik-án-k-a
lanka	lan-k-a
blanka	blan-k-a
dalamánka	dalamán-k-a
jelimánka	jelimán-k-a
štěpánka	štěpán-k-a
branka	bran-k-a
ochranka	o-chran-k-a
schránka	s-chrán-k-a
kraňka	kraňk-a
stránka	strán-k-a
tanka	tank-a
stánka	stánk-a
vanka	van-k-a
chovanka	chov-a-n-k-a
vázanka	váz-a-n-k-a
žanka	žank-a
kočenka	koč-en-k-a
deňka	deňk-a
dudenka	dudenk-a
studénka	studén-k-a
jízdenka	jízd-en-ka
okénka	okén-k-a
kovalenka	kovalenk-a
zelenka	zelen-k-a
myšlenka	myšl-e-n-k-a
panenka	panen-k-a
domněnka	do-mn-ě-n-k-a
zrněnka	zrněnk-a
spěnka	spěnk-a
vstupenka	v-stup-en-k-a
mřenka	mřenk-a
střenka	střenk-a
pšenka	pšen-k-a
všenka	všenk-a
tenká	ten-k-á
kopytenka	kopyt-enk-a
dívenka	dív-enk-a
červenka	červen-k-a
zvenka	zvenk-a
růženka	růžen-k-a
cinká	cink-á
mícinka	míc-in-k-a
číčinka	číč-in-k-a
tyčinka	tyč-ink-a
antihrdinka	ant-i-hrd-in-k-a
zdrobněinka	z-drob-n-ě-in-k-a
finka	fink-a
grófinka	grófin-k-a
linka	lin-k-a
zelinka	zelink-a
hlinka	hlink-a
infolinka	info-lin-k-a
bioplínka	bio-plín-k-a
maminka	mam-ink-a
záminka	zá-min-k-a
upomínka	u-po-mín-k-a
vzpomínka	vz-po-mín-k-a
šminka	šmink-a
pinka	pink-a
špinka	špink-a
skříňka	skříň-k-a
pusinka	pus-in-k-a
stinka	stink-a
jizinka	jizink-a
žinka	žink-a
pivoňka	pivoň-k-a
trnka	trn-k-a
buňka	buňk-a
meduňka	meduňk-a
kuakuakunka	kuakuakunk-a
zlehounka	z-leh-ounk-a
meruňka	meruňk-a
šunka	šunk-a
džunka	džunk-a
bedýnka	bedýn-k-a
synka	syn-k-a
plátýnka	plát-ýn-k-a
oka	ok-a
boka	bok-a
hluboká	hlub-ok-á
koka	kok-a
floka	flok-a
sloka	slok-a
moka	mok-a
roka	rok-a
široká	šir-ok-á
doširoka	do-šir-ok-a
vysoká	vys-ok-á
zvysoka	z-vys-ok-a
zátoka	zá-tok-a
potoka	po-tok-a
divoká	div-ok-á
kapka	kap-k-a
chlápka	chláp-k-a
mucholapka	much-o-lap-k-a
mapka	map-ka
nálepka	ná-lep-k-a
pepka	pepk-a
trepka	trepk-a
řepka	řep-k-a
dřevoštěpka	dřev-o-štěp-k-a
čipka	čipk-a
jipka	jipk-a
skipka	skipk-a
pipka	pipk-a
chřipka	chřipk-a
vzklopka	vzklopk-a
sopka	sopk-a
ťopka	ťopk-a
kupka	kup-k-a
chaloupka	chaloup-k-a
krupka	krup-k-a
župka	žup-k-a
otýpka	o-týp-k-a
bárka	bárk-a
harka	hark-a
marka	mark-a
parka	park-a
psárka	psárk-a
šarka	šark-a
šárka	šárk-a
tarka	tark-a
brka	brk-a
berka	berk-a
breberka	breber-k-a
herka	herk-a
kérka	kérk-a
jednosměrka	jedn-o-směr-k-a
nerka	nerk-a
perka	perk-a
pápěrka	pá-pěr-k-a
šumperka	šumperk-a
šerka	šerk-a
těrka	těrk-a
baterka	bater-k-a
smaltérka	smalt-ér-k-a
zástěrka	zá-stěr-k-a
veverka	vever-k-a
prověrka	pro-věr-k-a
čtverka	čtverk-a
sbírka	s-bír-k-a
čírka	čírk-a
dírka	dír-k-a
mirka	mirk-a
sirka	sir-k-a
svírka	svírk-a
mrká	mrk-á
borka	bor-k-a
cácorka	các-or-k-a
horka	hor-k-a
horká	hor-k-á
krákorka	krákor-k-a
sejkorka	sejkor-k-a
dřevomorka	dřev-o-mor-k-a
kooperátorka	ko-oper-átor-k-a
veleinkvizitorka	vele-inkviz-it-or-k-a
storka	stork-a
hovorka	hovor-k-a
nymburka	nymburk-a
okurka	okurk-a
vrká	vrk-á
lakýrka	lak-ýrk-a
kuchařka	kuch-ař-k-a
ploténkářka	plotén-k-ář-k-a
taškářka	taš-k-ář-k-a
šatnářka	šat-n-ář-k-a
sekretářka	sekret-ář-k-a
šířka	šíř-k-a
dvířka	dvíř-k-a
takřka	takřk-a
zítřka	zítř-k-a
ska	sk-a
láska	lásk-a
hláska	hlás-k-a
mlaská	mlask-á
maska	mask-a
paska	pask-a
audiopáska	audio-pás-k-a
černopáska	čern-o-pás-k-a
praská	prask-á
práská	prásk-á
zapráská	za-prásk-á
vráska	vrás-k-a
třaska	třask-a
saská	sas-k-á
vitáska	vitásk-a
saúdskoarabská	saúd-sk-o-arab-sk-á
vinohradská	vin-o-hrad-sk-á
sadská	sad-sk-á
lidská	lid-sk-á
česká	čes-k-á
středočeská	střed-o-čes-k-á
deska	desk-a
gramodeska	gram-o-desk-a
fotodeska	fot-o-desk-a
dřevodeska	dřev-o-desk-a
pleska	plesk-a
esemeska	es-em-es-k-a
dneska	dnes-k-a
freska	fresk-a
treska	tresk-a
komteska	komt-es-k-a
biska	bisk-a
franciska	francisk-a
hlediska	hled-isk-a
střediska	střed-isk-a
průchodiska	prů-chod-isk-a
východiska	vý-chod-isk-a
píská	písk-á
zapíská	za-písk-á
friska	frisk-a
tříska	třísk-a
dřevotříska	dřev-o-třís-k-a
vousiska	vous-isk-a
stanoviska	stan-ov-isk-a
získá	získ-á
thajska	thaj-sk-a
thajská	thaj-sk-á
lajska	lajsk-a
zlodějská	zl-o-děj-sk-á
blejská	blejsk-á
vojska	voj-sk-a
paleoaustralská	paleo-austral-sk-á
španělska	španěl-sk-a
nemanželská	ne-manžel-sk-á
polska	pol-sk-a
polská	pol-sk-á
královopolská	král-ov-o-pol-sk-á
smska	smsk-a
amerikánská	amerik-án-sk-á
štěpánská	štěpán-sk-á
proíránská	pro-írán-sk-á
vojenská	voj-en-sk-á
staropanenská	star-o-panen-sk-á
slovenská	slov-en-sk-á
ženská	žen-sk-á
náboženská	ná-bož-en-sk-á
hrdinská	hrd-in-sk-á
pohostinská	po-host-in-sk-á
sviňská	sviň-sk-á
koňská	koň-sk-á
japonska	japon-sk-a
středoplatónská	střed-o-platón-sk-á
kuchyňská	kuchyň-sk-á
kokoska	kokos-k-a
troska	trosk-a
transalpská	trans-alp-sk-á
evropská	evrop-sk-á
proevropská	pro-evrop-sk-á
švýcarska	švýcar-sk-a
maďarská	maďar-sk-á
heidelberská	heidelber-sk-á
norská	nor-sk-á
autorská	autor-sk-á
hospodářská	hospod-ář-sk-á
jerišská	jeriš-sk-á
britská	brit-sk-á
klimentská	kliment-sk-á
skotská	skot-sk-á
krutská	krut-sk-á
ruská	rus-k-á
pruska	prus-k-a
mladoboleslavská	mlad-o-boleslav-sk-á
žižlavská	žižlav-sk-á
obrovská	obr-ovsk-á
protiklausovská	proti-klaus-ovsk-á
moťovská	moť-ovsk-á
ptakopyska	ptak-o-pysk-a
stýská	s-týsk-á
francouzská	franc-ouz-sk-á
vnitrofrancouzská	v-nitr-o-franc-ouz-sk-á
pražská	praž-sk-á
flaška	flašk-a
vyhláška	vy-hláš-k-a
přednáška	před-náš-k-a
raška	rašk-a
fraška	frašk-a
taška	tašk-a
patrontaška	patron-taš-k-a
cigártaška	cigár-taš-k-a
kasírtaška	kasír-taš-k-a
staška	staš-k-a
vaška	vašk-a
češka	češ-k-a
čéška	čéšk-a
dneška	dneš-k-a
číška	číš-k-a
jíška	jíšk-a
liška	liš-k-a
eliška	eliš-k-a
voříška	voříšk-a
šiška	šišk-a
františka	frant-iš-k-a
včerejška	včer-ejš-k-a
brioška	briošk-a
krkoška	krkošk-a
jánoška	jánoš-k-a
troška	troš-k-a
hadimrška	hadimrška
muška	muš-k-a
mateřídouška	mat-eř-í-douš-k-a
zkouška	z-kouš-k-a
puška	pušk-a
dobruška	dobrušk-a
vondruška	vondrušk-a
dceruška	dcer-uš-k-a
hruška	hruš-k-a
báťuška	báťušk-a
matuška	matušk-a
ryška	ryšk-a
výška	výš-k-a
hubatka	hub-at-k-a
zubatka	zub-at-k-a
zrcátka	zrc-á-tk-a
fatka	fatk-a
jatka	jat-k-a
látka	lát-k-a
protilátka	proti-lát-k-a
matka	mat-k-a
památka	památ-k-a
krátká	krát-k-á
zkrátka	z-krát-k-a
spratka	sprat-k-a
svratka	svratk-a
padesátka	pa-desát-k-a
dvěstěpadesátka	dv-ě-st-ě-pa-desát-k-a
šedesátka	še-desát-k-a
vršatka	vršatk-a
vatka	vatk-a
křižovatka	křiž-ovat-k-a
zátka	zátk-a
plžatka	plžatk-a
dvanáctka	dva-náct-k-a
jedenáctka	jede-náct-k-a
šestsettřináctka	šest-set-tř-i-náct-k-a
čtrnáctka	čtrnáctk-a
patnáctka	pat-náct-k-a
šestnáctka	šest-náct-k-a
cetka	cetk-a
devítiletka	devít-i-let-k-a
špetka	špetk-a
retka	retk-a
fretka	fretk-a
ostroretka	ostr-o-ret-k-a
mažoretka	mažoret-k-a
zetka	zetk-a
dvacítka	dva-cít-k-a
sedmadvacítka	sedm-a-dv-a-cít-k-a
jednadvacítka	jedn-a-dv-a-cít-k-a
jedenadvacítka	jeden-a-dv-a-cít-k-a
pětadvacítka	pět-a-dv-a-cít-k-a
stopětadvacítka	st-o-pět-a-dv-a-cít-k-a
třicítka	tři-cít-k-a
čtyřicítka	čtyř-i-cít-k-a
tlačítka	tlač-í-tk-a
jitka	jitk-a
splítka	splítk-a
šulitka	šulitk-a
omítka	o-mít-k-a
snítka	snítk-a
měřítka	měř-í-tk-a
pilořitka	pil-o-řit-k-a
třasořitka	třas-o-řit-k-a
desítka	desít-ka
sajtka	sajtk-a
kantka	kantk-a
pacientka	pacient-k-a
asistentka	asist-ent-k-a
sralbotka	sr-a-l-bot-k-a
polobotka	polo-bot-k-a
sobotka	sobot-k-a
lhotka	lhot-k-a
potká	po-tk-á
škartka	škartk-a
smrtka	s-mr-t-k-a
športka	športk-a
prťka	prťk-a
šprtka	šprt-k-a
čtvrtka	čtvrtk-a
částka	část-k-a
šťástka	šťást-k-a
náměstka	ná-měst-k-a
šestka	šestk-a
švestka	švestk-a
prvoligistka	prv-o-lig-ist-k-a
cyklistka	cykl-ist-k-a
externistka	ex-tern-ist-k-a
kanoistka	kano-ist-k-a
kariéristka	kariér-ist-k-a
šístka	šístk-a
kostka	kost-k-a
špatnůstka	špatn-ůst-k-a
tříšťka	tříšťk-a
dršťka	dršťk-a
pohnutka	po-h-nu-t-k-a
loutka	loutk-a
poseroutka	po-ser-out-k-a
dobytka	do-byt-k-a
kytka	kytk-a
lýtka	lýtk-a
třpytka	třpyt-k-a
nauka	nau-k-a
kuka	kuka
kluka	kluk-a
výluka	vý-luk-a
muka	muk-a
fouká	fouk-á
kouká	kouk-á
nekouká	ne-kouk-á
louka	louk-a
mouka	mouk-a
brouká	brouk-á
věrouka	věr-o-uk-a
souká	souk-á
prvouka	prv-o-uk-a
ruka	ruk-a
záruka	zá-ruk-a
zaťuká	za-ťuk-á
antuka	antuk-a
výuka	vý-uk-a
dodávka	do-d-á-v-k-a
kavka	kavk-a
škrkavka	škrkavk-a
lávka	lávk-a
prdlavka	prdlavk-a
ohlávka	o-hláv-k-a
lysohlávka	lys-o-hláv-k-a
slávka	slávk-a
nechápavka	ne-cháp-a-v-k-a
ucpávka	u-cp-á-v-k-a
rychloucpávka	rychl-o-u-cp-á-vk-a
videonahrávka	video-na-hrá-v-k-a
radionahrávka	radi-o-na-hr-á-v-k-a
žravka	žravk-a
poptávka	po-pt-á-v-k-a
stávka	stáv-k-a
výstavka	vý-stav-k-a
mazavka	maz-a-v-k-a
naivka	naivk-a
cívka	cív-k-a
dívka	dív-k-a
ultraodstředivka	ultra-od-střed-iv-k-a
polívka	po-lí-v-k-a
skvrnivka	skvrnivk-a
křivka	křiv-k-a
silokřivka	sil-o-křiv-k-a
psivka	psivk-a
prašivka	praš-i-v-k-a
krbovka	krbovk-a
lícovka	líc-ovk-a
osmitisícovka	osm-i-tisíc-ovk-a
čovka	čovk-a
mzdovka	mzdovk-a
morseovka	morse-ov-k-a
pohovka	po-hov-ka
šusťákovka	šusť-ák-ov-k-a
bankovka	bank-ovk-a
skovka	skovk-a
držkovka	držkovk-a
šmirglovka	šmirgl-ovk-a
bulovka	bulovk-a
klenovka	klen-ov-k-a
zrnovka	zrnovk-a
žárovka	žár-ov-k-a
autožárovka	aut-o-žár-ovk-a
zubrovka	zubr-ov-k-a
větrovka	větr-ovk-a
stoeurovka	st-o-eur-ov-k-a
stovka	st-ovk-a
osmistovka	osm-i-st-ovk-a
patnáctistovka	pat-náct-i-st-ovk-a
šestnáctistovka	šest-náct-i-st-ovk-a
pětistovka	pět-i-st-ovk-a
čtyřstovka	čtyř-st-ovk-a
dvoustovka	dv-ou-st-ovk-a
vlaštovka	vlašt-ov-k-a
obrazovka	ob-raz-ov-k-a
slzovka	slzovk-a
vozovka	voz-ovk-a
podmrvka	podmrvk-a
chůvka	chůvk-a
borůvka	bor-ův-k-a
dýka	dýk-a
polyká	po-lyk-á
spolyká	s-polyk-á
zamyká	za-myk-á
týká	týk-á
netýká	ne-týk-á
nedotýká	ne-do-týk-á
podotýká	po-do-týk-á
partyka	partyk-a
zvyká	z-vyk-á
jazyka	jazyk-a
procházka	pro-cház-k-a
skazka	skazk-a
videoukázka	vide-o-u-káz-k-a
vzkazka	vzkazk-a
přazka	přazk-a
otázka	o-táz-k-a
princezka	princ-ez-k-a
hezká	hez-k-á
stezka	stezk-a
cyklostezka	cykl-o-stezk-a
zblízka	z-blíz-k-a
nízká	níz-k-á
mrzká	mrz-k-á
úzká	úz-k-á
schůzka	s-chůz-k-a
ryzka	ryzk-a
překážka	pře-káž-k-a
dlážka	dláž-k-a
nažka	nažk-a
přirážka	při-ráž-k-a
porážka	po-ráž-k-a
srážka	s-ráž-k-a
urážka	u-ráž-k-a
svážka	svážk-a
koloběžka	kol-o-běž-k-a
anežka	anežk-a
těžká	těž-k-á
knížka	kníž-k-a
žižka	žižk-a
pokožka	po-kož-k-a
položka	po-lož-k-a
biosložka	bio-s-lož-k-a
vložka	v-lož-k-a
biovložka	bio-v-lož-k-a
žábronožka	žábr-o-nož-k-a
stonožka	st-o-nož-k-a
drožka	drožk-a
držka	držk-a
služka	služ-k-a
družka	druž-k-a
tužka	tuž-ka
stužka	stuž-k-a
bála	bá-l-a
škrábala	škráb-a-l-a
nebála	ne-bá-l-a
líbala	líb-a-l-a
přikolíbala	při-kolíb-a-l-a
bimbala	bimb-a-l-a
nepodrbala	ne-po-drb-a-l-a
dloubala	dloub-a-l-a
začala	za-č-a-l-a
počala	po-č-a-l-a
dala	d-a-l-a
skládala	s-klád-a-l-a
nadála	na-dá-l-a
padala	pad-a-l-a
nezadala	ne-za-d-a-l-a
žádala	žád-a-l-a
požádala	po-žád-a-l-a
nedala	ne-d-a-l-a
předala	pře-d-a-l-a
povídala	po-víd-a-l-a
neodpovídala	ne-od-po-víd-a-l-a
nevypovídala	ne-vy-po-víd-a-l-a
podala	po-d-a-l-a
prodala	pro-d-a-l-a
nevdala	ne-v-d-a-l-a
vydala	vy-d-a-l-a
hala	hal-a
chala	chal-a
nechala	nech-a-l-a
přenechala	pře-nech-a-l-a
naléhala	na-léh-a-l-a
belhala	belh-a-l-a
nevyšplhala	ne-vy-šplh-a-l-a
kulhala	kulh-a-l-a
nekulhala	ne-kulh-a-l-a
bilabiála	bi-lab-iál-a
fiala	fial-a
pronajala	pro-na-j-a-l-a
přijala	při-j-a-l-a
plakala	plak-a-l-a
nezaplakala	ne-za-plak-a-l-a
neplakala	ne-plak-a-l-a
rozplakala	roz-plak-a-l-a
čekala	ček-a-l-a
sekala	sek-a-l-a
unikala	u-nik-a-l-a
říkala	řík-a-l-a
neříkala	ne-řík-a-l-a
mrkala	mrk-a-l-a
skála	skál-a
získala	získ-a-l-a
prskala	prsk-a-l-a
škála	škál-a
štkala	štk-a-l-a
koukala	kouk-a-l-a
vzlykala	vz-lyk-a-l-a
lalala	la-la-la
dělala	děl-a-l-a
udělala	u-děl-a-l-a
vyvolala	vy-vol-a-l-a
zvolala	z-vol-a-l-a
plála	pl-á-l-a
poslala	po-sl-a-l-a
malá	mal-á
dřímala	dřím-a-l-a
smála	smá-l-a
zkoumala	z-koum-a-l-a
vyzkoumala	vy-z-koum-a-l-a
nadýmala	na-dým-a-l-a
bezmála	bez-mál-a
zaznamenala	za-znam-en-a-l-a
vyznamenala	vy-znam-en-a-l-a
začervenala	za-červen-a-l-a
zahnala	za-hn-a-l-a
začínala	za-č-ín-a-l-a
vzpomínala	vz-po-mín-a-l-a
zesinala	ze-sin-a-l-a
konala	kon-a-l-a
dokonalá	do-kon-a-l-á
chutnala	chut-n-a-l-a
přiznala	při-zn-a-l-a
doznala	do-zn-a-l-a
koala	koal-a
drápala	dráp-a-l-a
chrápala	chráp-a-l-a
spala	sp-a-l-a
zaspala	za-sp-a-l-a
nevyspalá	ne-vy-sp-a-l-á
vysypala	vy-syp-a-l-a
kárala	kár-a-l-a
nestarala	ne-star-a-l-a
brala	br-a-l-a
sebrala	se-br-a-l-a
generála	gener-ál-a
hrála	hrá-l-a
nehrála	ne-hrá-l-a
vyhrála	vy-hrá-l-a
sbírala	s-bír-a-l-a
vybírala	vy-bír-a-l-a
admirála	admirál-a
umírala	u-mír-a-l-a
nezapírala	ne-za-pír-a-l-a
odpírala	od-pír-a-l-a
podpírala	pod-pír-a-l-a
spirála	spirál-a
předstírala	před-stír-a-l-a
prala	pr-a-l-a
centrála	centr-ál-a
elektrocentrála	elektr-o-centr-ál-a
magistrála	magistr-ál-a
šourala	šour-a-l-a
žrala	žr-a-l-a
nažrala	na-žr-a-l-a
hřála	hřá-l-a
česala	čes-a-l-a
psala	ps-a-l-a
napsala	na-ps-a-l-a
podepsala	pode-ps-a-l-a
kousala	kous-a-l-a
šala	šal-a
šála	šál-a
tala	tal-a
zaťala	za-ť-a-l-a
namítala	na-mít-a-l-a
kapitála	kapitál-a
antala	antal-a
interdentála	inter-dent-ál-a
ptala	pt-a-l-a
šeptala	šept-a-l-a
zašeptala	za-šept-a-l-a
zeptala	ze-pt-a-l-a
stala	sta-l-a
stála	stá-l-a
stálá	stál-á
nastala	na-st-a-l-a
přestala	pře-sta-l-a
dostala	do-sta-l-a
neustálá	ne-u-stá-l-á
zůstala	z-ů-sta-l-a
nezůstala	ne-zů-sta-l-a
vstala	v-sta-l-a
povstala	po-v-sta-l-a
uchystala	u-chyst-a-l-a
chytala	chyt-a-l-a
obávala	o-bá-v-a-l-a
oddávala	od-d-á-v-a-l-a
prodávala	pro-d-á-v-a-l-a
uplavala	u-plav-a-l-a
projednávala	pro-jedn-á-v-a-l-a
doznávala	do-zn-á-v-a-l-a
nevyptávala	ne-vy-pt-á-v-a-l-a
chvála	chvál-a
pochvala	po-chval-a
dívala	dív-a-l-a
podívala	po-dív-a-l-a
usmívala	u-smí-v-a-l-a
zazpívala	za-z-pí-v-a-l-a
bejvala	bej-v-a-l-a
ochabovala	o-chab-ova-l-a
potřebovala	po-třeb-ova-l-a
pokračovala	po-krač-ova-l-a
bědovala	běd-ova-l-a
sledovala	sled-ova-l-a
telegrafovala	tele-graf-ova-l-a
schovala	s-chov-a-l-a
opakovala	o-pak-ova-l-a
prorokovala	pro-rok-ova-l-a
interpelovala	inter-pel-ova-l-a
milovala	mil-ova-l-a
zamilovala	za-mil-ova-l-a
vysvětlovala	vy-svět-l-ova-l-a
nepodceňovala	ne-pod-ceň-ova-l-a
jmenovala	jmen-ova-l-a
věnovala	věn-ova-l-a
intervenovala	inter-ven-ova-l-a
nepřekvapovala	ne-pře-kvap-ova-l-a
kupovala	kup-ova-l-a
nesvěřovala	ne-s-věř-ova-l-a
odhlasovala	od-hlas-ova-l-a
nezakusovala	ne-za-kus-ova-l-a
přerušovala	pře-ruš-ova-l-a
zvyšovala	z-vyš-ova-l-a
účtovala	ú-čt-ova-l-a
neagitovala	ne-agit-ova-l-a
flirtovala	flirt-ova-l-a
existovala	exist-ova-l-a
neexistovala	ne-exist-ova-l-a
ujišťovala	u-jišť-ova-l-a
vypravovala	vy-prav-ova-l-a
vyhovovala	vy-hov-ova-l-a
ukazovala	u-kaz-ova-l-a
rozvazovala	roz-vaz-ova-l-a
kritizovala	krit-iz-ova-l-a
považovala	po-važ-ova-l-a
neuvažovala	ne-u-važ-ova-l-a
udržovala	u-drž-ova-l-a
trvala	trv-a-l-a
bývala	bý-v-a-l-a
bývalá	bý-v-a-l-á
zbývala	z-bý-v-a-l-a
kývala	kýv-a-l-a
zakývala	za-kýv-a-l-a
skrývala	s-krýv-a-l-a
ozvala	o-zv-a-l-a
vyzvala	vy-zv-a-l-a
dokázala	do-káz-a-l-a
ukázala	u-káz-a-l-a
umazala	u-maz-a-l-a
nalézala	na-léz-a-l-a
vzala	vz-a-l-a
převzala	pře-vz-a-l-a
nabla	nabl-a
brbla	brbl-a
ferbla	ferbl-a
bublá	bubl-á
zbla	zbl-a
cla	cl-a
lákadla	lák-a-dl-a
padla	pad-l-a
dopadla	do-pad-l-a
popadla	po-pad-l-a
spadla	s-pad-l-a
nespadla	ne-s-pad-l-a
upadla	u-pad-l-a
ukradla	u-krad-l-a
prádla	pr-á-dl-a
letadla	let-a-dl-a
divadla	div-a-dl-a
zavazadla	za-vaz-a-dl-a
bedla	bedl-a
jedla	jed-l-a
nenajedla	ne-na-jed-l-a
napajedla	na-paj-e-dl-a
zahlédla	za-hléd-l-a
neohlédla	ne-o-hléd-l-a
předla	před-l-a
sedla	sed-l-a
vedla	ved-l-a
přivedla	při-ved-l-a
dovedla	do-ved-l-a
nedovedla	ne-do-ved-l-a
uvedla	u-ved-l-a
neuzvedla	ne-u-z-ved-l-a
nabídla	na-bíd-l-a
vybídla	vy-bíd-l-a
jídla	jíd-l-a
špidla	špidl-a
břidla	břidl-a
křidla	křidl-a
křídla	křídl-a
sídla	sídl-a
pravidla	prav-i-dl-a
zpravidla	z-prav-i-dl-a
vozidla	voz-i-dl-a
hodlá	hodl-á
rozhodla	roz-hod-l-a
škrdla	škrdl-a
pudla	pudl-a
bela	bel-a
běla	běl-a
vyráběla	vy-ráb-ě-l-a
akvabela	akva-bel-a
korbela	korbel-a
cela	cel-a
celá	cel-á
vracela	vrac-e-l-a
vyvracela	vy-vrac-e-l-a
necelá	ne-cel-á
docela	do-cel-a
skorocela	skoro-cel-a
parcela	parcel-a
zcela	z-cel-a
čela	čel-a
ječela	ječ-e-l-a
klečela	kleč-e-l-a
křičela	křič-e-l-a
kvičela	kvič-e-l-a
mlčela	mlč-e-l-a
odmlčela	od-mlč-e-l-a
zadrnčela	za-drnč-e-l-a
zachrčela	za-chrč-e-l-a
zakňučela	za-kňuč-e-l-a
včela	včel-a
syčela	syč-e-l-a
zasyčela	za-syč-e-l-a
dělá	děl-á
adéla	adél-a
vyváděla	vy-vád-ě-l-a
nedělá	ne-děl-á
seděla	sed-ě-l-a
vyseděla	vy-sed-ě-l-a
věděla	v-ěd-ě-l-a
nevěděla	ne-věd-ě-l-a
odpověděla	od-po-věd-ě-l-a
dozvěděla	do-z-věd-ě-l-a
nedozvěděla	ne-do-z-věd-ě-l-a
viděla	vid-ě-l-a
neviděla	ne-vid-ě-l-a
uviděla	u-vid-ě-l-a
poděla	po-d-ě-l-a
neprodělá	ne-pro-děl-á
zarděla	za-rd-ě-l-a
udělá	u-děl-á
neudělá	ne-u-děl-á
angela	angel-a
jela	je-l-a
svíjela	s-víj-e-l-a
ujela	u-je-l-a
válela	vál-e-l-a
kvílela	kvíl-e-l-a
zakvílela	za-kvíl-e-l-a
mlela	ml-e-l-a
myslela	mysl-e-l-a
přemýšlela	pře-mýšl-e-l-a
nepřemýšlela	ne-pře-mýšl-e-l-a
mela	mel-a
měla	m-ě-l-a
neměla	ne-m-ě-l-a
neuměla	ne-um-ě-l-a
zapomněla	za-po-mn-ě-l-a
vzpomněla	vz-po-mn-ě-l-a
funěla	fun-ě-l-a
zněla	zn-ě-l-a
zazněla	za-zn-ě-l-a
rozezněla	roze-zn-ě-l-a
kapela	kapel-a
zaúpěla	za-úp-ě-l-a
utvářela	u-tvář-e-l-a
zadřela	za-dř-e-l-a
umřela	u-mř-e-l-a
neumřela	ne-u-mř-e-l-a
hořela	hoř-e-l-a
odepřela	ode-př-e-l-a
podepřela	pode-př-e-l-a
opřela	o-př-e-l-a
třela	tř-e-l-a
vetřela	ve-tř-e-l-a
rozestřela	roze-stře-l-a
uzavřela	u-za-vř-e-l-a
otevřela	ote-vř-e-l-a
veselá	vesel-á
musela	mus-e-l-a
nemusela	ne-mus-e-l-a
čišela	čiš-e-l-a
zasršela	za-srš-e-l-a
slyšela	slyš-e-l-a
těla	těl-a
letěla	let-ě-l-a
přiletěla	při-let-ě-l-a
vyletěla	vy-let-ě-l-a
rozletěla	roz-let-ě-l-a
chtěla	cht-ě-l-a
nechtěla	ne-cht-ě-l-a
aristotela	aristotel-a
vrtěla	vrt-ě-l-a
zavrtěla	za-vrt-ě-l-a
stéla	stél-a
kostela	kostel-a
venezuela	venezuel-a
zachvěla	za-chvě-l-a
hověla	hov-ě-l-a
nevyhověla	ne-vy-hov-ě-l-a
novela	novel-a
telenovela	tele-novel-a
odcházela	od-cház-e-l-a
docházela	do-cház-e-l-a
nabízela	na-bíz-e-l-a
běžela	běž-e-l-a
neběžela	ne-běž-e-l-a
ležela	lež-e-l-a
náležela	ná-lež-e-l-a
držela	drž-e-l-a
petržela	petržel-a
jáhla	jáhl-a
znáhla	znáhl-a
sáhla	sáh-l-a
přesáhla	pře-sáh-l-a
dosáhla	do-sáh-l-a
vytáhla	vy-táh-l-a
vydechla	vy-dech-l-a
čichla	čich-l-a
vybuchla	vy-buch-l-a
nepřibouchla	ne-při-bouch-l-a
napuchlá	na-puch-l-á
vzdychla	vz-dych-l-a
kýchla	kých-l-a
rychlá	rychl-á
zrychla	zrychl-a
zaběhlá	za-běh-l-á
přiběhla	při-běh-l-a
proběhla	pro-běh-l-a
jehla	jehl-a
lehla	leh-l-a
švehla	švehl-a
cihla	cihl-a
mohla	moh-l-a
nemohla	ne-moh-l-a
přemohla	pře-moh-l-a
pomohla	po-moh-l-a
trhla	trh-l-a
potrhla	po-trh-l-a
strhla	s-trh-l-a
utrhla	u-trh-l-a
truhla	truhl-a
bílá	bíl-á
líbila	líb-i-l-a
vyrobila	vy-rob-i-l-a
rozbila	roz-bi-l-a
označila	o-znač-il-a
svědčila	s-věd-č-i-l-a
osvědčila	o-s-věd-č-i-l-a
tenčila	tenč-i-l-a
ztenčila	z-ten-č-i-l-a
skončila	s-konč-i-l-a
neskončila	ne-s-konč-i-l-a
skočila	skoč-i-l-a
nevyskočila	ne-vy-skoč-i-l-a
nepřekročila	ne-pře-kroč-i-l-a
točila	toč-i-l-a
zatočila	za-toč-i-l-a
strčila	strč-i-l-a
vystrčila	vy-strč-i-l-a
naučila	na-uč-i-l-a
nenaučila	ne-na-uč-i-l-a
rozloučila	roz-louč-i-l-a
vztyčila	vz-tyč-i-l-a
díla	díl-a
hladila	hlad-i-l-a
ochladila	o-chlad-i-l-a
pohladila	po-hlad-i-l-a
prozradila	pro-z-rad-i-l-a
posadila	po-sad-i-l-a
veledíla	vele-díl-a
škaredila	škared-i-l-a
nahodilá	na-hod-i-l-á
