scenario: Load file=fulltest.tsv CS::ExtractCandidatesForUnexploitedRules
novy par: candid --> candida	 pravidlo: A- --> A-a
novy par: provinilý --> provinilec	 pravidlo: A-ý --> N-ec
novy par: prskavý --> prskavec	 pravidlo: A-ý --> N-ec
novy par: prvorozený --> prvorozenec	 pravidlo: A-ý --> N-ec
novy par: přesídlený --> přesídlenec	 pravidlo: A-ý --> N-ec
novy par: převtělený --> převtělenec	 pravidlo: A-ý --> N-ec
novy par: přežvýkavý --> přežvýkavec	 pravidlo: A-ý --> N-ec
novy par: přičinlivý --> přičinlivec	 pravidlo: A-ý --> N-ec
novy par: přidělený --> přidělenec	 pravidlo: A-ý --> N-ec
novy par: přistěhovalý --> přistěhovalec	 pravidlo: A-ý --> N-ec
novy par: přivandrovalý --> přivandrovalec	 pravidlo: A-ý --> N-ec
novy par: příznivý --> příznivec	 pravidlo: A-ý --> N-ec
novy par: psaný --> psanec	 pravidlo: A-ý --> N-ec
novy par: psavý --> psavec	 pravidlo: A-ý --> N-ec
novy par: psohlavý --> psohlavec	 pravidlo: A-ý --> N-ec
novy par: pukavý --> pukavec	 pravidlo: A-ý --> N-ec
@	novy par: raný --> ranec	 pravidlo: A-ý --> N-ec
novy par: rezavý --> rezavec	 pravidlo: A-ý --> N-ec
novy par: rohatý --> rohatec	 pravidlo: A-ý --> N-ec
novy par: rohový --> rohovec	 pravidlo: A-ý --> N-ec
novy par: roubovaný --> roubovanec	 pravidlo: A-ý --> N-ec
novy par: rozcuchaný --> rozcuchanec	 pravidlo: A-ý --> N-ec
novy par: rozedraný --> rozedranec	 pravidlo: A-ý --> N-ec
novy par: rozervaný --> rozervanec	 pravidlo: A-ý --> N-ec
novy par: rozjívený --> rozjívenec	 pravidlo: A-ý --> N-ec
novy par: rozmařilý --> rozmařilec	 pravidlo: A-ý --> N-ec
novy par: rozmazlený --> rozmazlenec	 pravidlo: A-ý --> N-ec
novy par: rozpustilý --> rozpustilec	 pravidlo: A-ý --> N-ec
novy par: ruměný --> ruměnec	 pravidlo: A-ý --> N-ec
novy par: ryšavý --> ryšavec	 pravidlo: A-ý --> N-ec
@	novy par: rytý --> rytec	 pravidlo: A-ý --> N-ec
novy par: řezaný --> řezanec	 pravidlo: A-ý --> N-ec
novy par: řízkovaný --> řízkovanec	 pravidlo: A-ý --> N-ec
novy par: sádrový --> sádrovec	 pravidlo: A-ý --> N-ec
novy par: samozvaný --> samozvanec	 pravidlo: A-ý --> N-ec
novy par: savý --> savec	 pravidlo: A-ý --> N-ec
novy par: sebraný --> sebranec	 pravidlo: A-ý --> N-ec
novy par: sekvojový --> sekvojovec	 pravidlo: A-ý --> N-ec
novy par: schovaný --> schovanec	 pravidlo: A-ý --> N-ec
novy par: sírový --> sírovec	 pravidlo: A-ý --> N-ec
novy par: skrčený --> skrčenec	 pravidlo: A-ý --> N-ec
novy par: slepený --> slepenec	 pravidlo: A-ý --> N-ec
novy par: slepý --> slepec	 pravidlo: A-ý --> N-ec
novy par: slínový --> slínovec	 pravidlo: A-ý --> N-ec
novy par: smělý --> smělec	 pravidlo: A-ý --> N-ec
novy par: smířlivý --> smířlivec	 pravidlo: A-ý --> N-ec
novy par: snaživý --> snaživec	 pravidlo: A-ý --> N-ec
novy par: snivý --> snivec	 pravidlo: A-ý --> N-ec
novy par: snoubený --> snoubenec	 pravidlo: A-ý --> N-ec
novy par: spečený --> spečenec	 pravidlo: A-ý --> N-ec
novy par: splašený --> splašenec	 pravidlo: A-ý --> N-ec
novy par: spletený --> spletenec	 pravidlo: A-ý --> N-ec
novy par: spojený --> spojenec	 pravidlo: A-ý --> N-ec
novy par: spolčený --> spolčenec	 pravidlo: A-ý --> N-ec
novy par: spolehlivý --> spolehlivec	 pravidlo: A-ý --> N-ec
novy par: spřežený --> spřeženec	 pravidlo: A-ý --> N-ec
novy par: spřízněný --> spřízněnec	 pravidlo: A-ý --> N-ec
novy par: stoupený --> stoupenec	 pravidlo: A-ý --> N-ec
novy par: stříkaný --> stříkanec	 pravidlo: A-ý --> N-ec
novy par: surový --> surovec	 pravidlo: A-ý --> N-ec
novy par: svalnatý --> svalnatec	 pravidlo: A-ý --> N-ec
novy par: svalový --> svalovec	 pravidlo: A-ý --> N-ec
novy par: svárlivý --> svárlivec	 pravidlo: A-ý --> N-ec
novy par: svařený --> svařenec	 pravidlo: A-ý --> N-ec
novy par: svěřený --> svěřenec	 pravidlo: A-ý --> N-ec
novy par: šedivý --> šedivec	 pravidlo: A-ý --> N-ec
novy par: šedobradý --> šedobradec	 pravidlo: A-ý --> N-ec
novy par: šílený --> šílenec	 pravidlo: A-ý --> N-ec
novy par: šilhavý --> šilhavec	 pravidlo: A-ý --> N-ec
novy par: škrábaný --> škrábanec	 pravidlo: A-ý --> N-ec
novy par: šlehaný --> šlehanec	 pravidlo: A-ý --> N-ec
novy par: špinavý --> špinavec	 pravidlo: A-ý --> N-ec
novy par: šplhavý --> šplhavec	 pravidlo: A-ý --> N-ec
novy par: šťastlivý --> šťastlivec	 pravidlo: A-ý --> N-ec
novy par: štětinatý --> štětinatec	 pravidlo: A-ý --> N-ec
novy par: štípaný --> štípanec	 pravidlo: A-ý --> N-ec
novy par: šťouchaný --> šťouchanec	 pravidlo: A-ý --> N-ec
novy par: štvaný --> štvanec	 pravidlo: A-ý --> N-ec
novy par: těžkooděný --> těžkooděnec	 pravidlo: A-ý --> N-ec
novy par: trestaný --> trestanec	 pravidlo: A-ý --> N-ec
novy par: trhaný --> trhanec	 pravidlo: A-ý --> N-ec
novy par: trhový --> trhovec	 pravidlo: A-ý --> N-ec
novy par: trojzubý --> trojzubec	 pravidlo: A-ý --> N-ec
novy par: troufalý --> troufalec	 pravidlo: A-ý --> N-ec
novy par: trsnatý --> trsnatec	 pravidlo: A-ý --> N-ec
novy par: tupohlavý --> tupohlavec	 pravidlo: A-ý --> N-ec
novy par: tupý --> tupec	 pravidlo: A-ý --> N-ec
novy par: tvrdohlavý --> tvrdohlavec	 pravidlo: A-ý --> N-ec
novy par: učený --> učenec	 pravidlo: A-ý --> N-ec
novy par: ufňukaný --> ufňukanec	 pravidlo: A-ý --> N-ec
novy par: ukřivděný --> ukřivděnec	 pravidlo: A-ý --> N-ec
novy par: ukvapený --> ukvapenec	 pravidlo: A-ý --> N-ec
novy par: ulízaný --> ulízanec	 pravidlo: A-ý --> N-ec
novy par: umaštěný --> umaštěnec	 pravidlo: A-ý --> N-ec
novy par: umělý --> umělec	 pravidlo: A-ý --> N-ec
novy par: umíněný --> umíněnec	 pravidlo: A-ý --> N-ec
novy par: umírněný --> umírněnec	 pravidlo: A-ý --> N-ec
novy par: umístěný --> umístěnec	 pravidlo: A-ý --> N-ec
novy par: umouněný --> umouněnec	 pravidlo: A-ý --> N-ec
novy par: umrlý --> umrlec	 pravidlo: A-ý --> N-ec
novy par: uplakaný --> uplakanec	 pravidlo: A-ý --> N-ec
novy par: uprchlý --> uprchlec	 pravidlo: A-ý --> N-ec
novy par: urozený --> urozenec	 pravidlo: A-ý --> N-ec
novy par: uřvaný --> uřvanec	 pravidlo: A-ý --> N-ec
novy par: usídlený --> usídlenec	 pravidlo: A-ý --> N-ec
novy par: usmolený --> usmolenec	 pravidlo: A-ý --> N-ec
novy par: usmrkaný --> usmrkanec	 pravidlo: A-ý --> N-ec
novy par: ustrašený --> ustrašenec	 pravidlo: A-ý --> N-ec
novy par: ušatý --> ušatec	 pravidlo: A-ý --> N-ec
novy par: ušmudlaný --> ušmudlanec	 pravidlo: A-ý --> N-ec
novy par: uštěkaný --> uštěkanec	 pravidlo: A-ý --> N-ec
novy par: utečený --> utečenec	 pravidlo: A-ý --> N-ec
novy par: utopený --> utopenec	 pravidlo: A-ý --> N-ec
novy par: užvaněný --> užvaněnec	 pravidlo: A-ý --> N-ec
novy par: vačnatý --> vačnatec	 pravidlo: A-ý --> N-ec
novy par: váhavý --> váhavec	 pravidlo: A-ý --> N-ec
novy par: vášnivý --> vášnivec	 pravidlo: A-ý --> N-ec
novy par: vatový --> vatovec	 pravidlo: A-ý --> N-ec
novy par: vejcový --> vejcovec	 pravidlo: A-ý --> N-ec
novy par: vetřelý --> vetřelec	 pravidlo: A-ý --> N-ec
novy par: vězený --> vězenec	 pravidlo: A-ý --> N-ec
novy par: vlasatý --> vlasatec	 pravidlo: A-ý --> N-ec
novy par: vlasový --> vlasovec	 pravidlo: A-ý --> N-ec
novy par: vlnový --> vlnovec	 pravidlo: A-ý --> N-ec
novy par: vousatý --> vousatec	 pravidlo: A-ý --> N-ec
novy par: vřesový --> vřesovec	 pravidlo: A-ý --> N-ec
novy par: všeznalý --> všeznalec	 pravidlo: A-ý --> N-ec
novy par: všežravý --> všežravec	 pravidlo: A-ý --> N-ec
novy par: všivý --> všivec	 pravidlo: A-ý --> N-ec
novy par: vyděděný --> vyděděnec	 pravidlo: A-ý --> N-ec
novy par: vyhnaný --> vyhnanec	 pravidlo: A-ý --> N-ec
novy par: vyhoštěný --> vyhoštěnec	 pravidlo: A-ý --> N-ec
novy par: vychrtlý --> vychrtlec	 pravidlo: A-ý --> N-ec
novy par: vychytralý --> vychytralec	 pravidlo: A-ý --> N-ec
novy par: vykleštěný --> vykleštěnec	 pravidlo: A-ý --> N-ec
novy par: vylízaný --> vylízanec	 pravidlo: A-ý --> N-ec
novy par: vypovězený --> vypovězenec	 pravidlo: A-ý --> N-ec
novy par: vyřazený --> vyřazenec	 pravidlo: A-ý --> N-ec
novy par: vysídlený --> vysídlenec	 pravidlo: A-ý --> N-ec
novy par: vyslaný --> vyslanec	 pravidlo: A-ý --> N-ec
novy par: vysloužilý --> vysloužilec	 pravidlo: A-ý --> N-ec
novy par: vystěhovalý --> vystěhovalec	 pravidlo: A-ý --> N-ec
novy par: vystrašený --> vystrašenec	 pravidlo: A-ý --> N-ec
novy par: vyšetřovaný --> vyšetřovanec	 pravidlo: A-ý --> N-ec
novy par: vytrvalý --> vytrvalec	 pravidlo: A-ý --> N-ec
novy par: vyučený --> vyučenec	 pravidlo: A-ý --> N-ec
novy par: vyvolený --> vyvolenec	 pravidlo: A-ý --> N-ec
novy par: vyvržený --> vyvrženec	 pravidlo: A-ý --> N-ec
novy par: vzbouřený --> vzbouřenec	 pravidlo: A-ý --> N-ec
novy par: vzdělaný --> vzdělanec	 pravidlo: A-ý --> N-ec
novy par: vzdušnicový --> vzdušnicovec	 pravidlo: A-ý --> N-ec
novy par: zabedněný --> zabedněnec	 pravidlo: A-ý --> N-ec
novy par: zajatý --> zajatec	 pravidlo: A-ý --> N-ec
novy par: zakuklený --> zakuklenec	 pravidlo: A-ý --> N-ec
novy par: zaměstnaný --> zaměstnanec	 pravidlo: A-ý --> N-ec
novy par: zamilovaný --> zamilovanec	 pravidlo: A-ý --> N-ec
novy par: zanedbaný --> zanedbanec	 pravidlo: A-ý --> N-ec
novy par: zaostalý --> zaostalec	 pravidlo: A-ý --> N-ec
novy par: zapletený --> zapletenec	 pravidlo: A-ý --> N-ec
novy par: zapomnětlivý --> zapomnětlivec	 pravidlo: A-ý --> N-ec
novy par: zaprodaný --> zaprodanec	 pravidlo: A-ý --> N-ec
novy par: zarputilý --> zarputilec	 pravidlo: A-ý --> N-ec
novy par: zarytý --> zarytec	 pravidlo: A-ý --> N-ec
novy par: zaslepený --> zaslepenec	 pravidlo: A-ý --> N-ec
novy par: zasvěcený --> zasvěcenec	 pravidlo: A-ý --> N-ec
novy par: zatoulaný --> zatoulanec	 pravidlo: A-ý --> N-ec
novy par: zatracený --> zatracenec	 pravidlo: A-ý --> N-ec
novy par: zatvrzelý --> zatvrzelec	 pravidlo: A-ý --> N-ec
novy par: zavinutý --> zavinutec	 pravidlo: A-ý --> N-ec
novy par: závistivý --> závistivec	 pravidlo: A-ý --> N-ec
novy par: zavržený --> zavrženec	 pravidlo: A-ý --> N-ec
novy par: zavšivený --> zavšivenec	 pravidlo: A-ý --> N-ec
novy par: zazobaný --> zazobanec	 pravidlo: A-ý --> N-ec
novy par: zbabělý --> zbabělec	 pravidlo: A-ý --> N-ec
novy par: zbědovaný --> zbědovanec	 pravidlo: A-ý --> N-ec
novy par: zběsilý --> zběsilec	 pravidlo: A-ý --> N-ec
novy par: zbloudilý --> zbloudilec	 pravidlo: A-ý --> N-ec
novy par: zbrojený --> zbrojenec	 pravidlo: A-ý --> N-ec
novy par: zhovadilý --> zhovadilec	 pravidlo: A-ý --> N-ec
novy par: zhýralý --> zhýralec	 pravidlo: A-ý --> N-ec
novy par: zchátralý --> zchátralec	 pravidlo: A-ý --> N-ec
novy par: ziskuchtivý --> ziskuchtivec	 pravidlo: A-ý --> N-ec
novy par: zkažený --> zkaženec	 pravidlo: A-ý --> N-ec
novy par: zkrachovalý --> zkrachovalec	 pravidlo: A-ý --> N-ec
novy par: zkrachovaný --> zkrachovanec	 pravidlo: A-ý --> N-ec
novy par: zlobivý --> zlobivec	 pravidlo: A-ý --> N-ec
novy par: zlořečený --> zlořečenec	 pravidlo: A-ý --> N-ec
novy par: zlotřilý --> zlotřilec	 pravidlo: A-ý --> N-ec
novy par: zmatený --> zmatenec	 pravidlo: A-ý --> N-ec
novy par: změkčilý --> změkčilec	 pravidlo: A-ý --> N-ec
novy par: zmocněný --> zmocněnec	 pravidlo: A-ý --> N-ec
novy par: znalý --> znalec	 pravidlo: A-ý --> N-ec
novy par: znělý --> znělec	 pravidlo: A-ý --> N-ec
novy par: znetvořený --> znetvořenec	 pravidlo: A-ý --> N-ec
novy par: zoufalý --> zoufalec	 pravidlo: A-ý --> N-ec
novy par: zplnomocněný --> zplnomocněnec	 pravidlo: A-ý --> N-ec
novy par: zplozený --> zplozenec	 pravidlo: A-ý --> N-ec
novy par: zpozdilý --> zpozdilec	 pravidlo: A-ý --> N-ec
novy par: zrozený --> zrozenec	 pravidlo: A-ý --> N-ec
novy par: zrzavý --> zrzavec	 pravidlo: A-ý --> N-ec
novy par: zřízený --> zřízenec	 pravidlo: A-ý --> N-ec
novy par: ztracený --> ztracenec	 pravidlo: A-ý --> N-ec
novy par: ztroskotaný --> ztroskotanec	 pravidlo: A-ý --> N-ec
novy par: ztřeštěný --> ztřeštěnec	 pravidlo: A-ý --> N-ec
novy par: zubatý --> zubatec	 pravidlo: A-ý --> N-ec
novy par: zuřivý --> zuřivec	 pravidlo: A-ý --> N-ec
novy par: zvědavý --> zvědavec	 pravidlo: A-ý --> N-ec
novy par: zvrácený --> zvrácenec	 pravidlo: A-ý --> N-ec
novy par: žahavý --> žahavec	 pravidlo: A-ý --> N-ec
novy par: žaludový --> žaludovec	 pravidlo: A-ý --> N-ec
novy par: žárlivý --> žárlivec	 pravidlo: A-ý --> N-ec
novy par: žatý --> žatec	 pravidlo: A-ý --> N-ec
novy par: živý --> živec	 pravidlo: A-ý --> N-ec
novy par: žíznivý --> žíznivec	 pravidlo: A-ý --> N-ec
novy par: adresový --> adresovat	 pravidlo: A-ý --> V-at
novy par: alarmový --> alarmovat	 pravidlo: A-ý --> V-at
novy par: alkylový --> alkylovat	 pravidlo: A-ý --> V-at
novy par: apelový --> apelovat	 pravidlo: A-ý --> V-at
novy par: asfaltový --> asfaltovat	 pravidlo: A-ý --> V-at
novy par: auditový --> auditovat	 pravidlo: A-ý --> V-at
novy par: bagrový --> bagrovat	 pravidlo: A-ý --> V-at
novy par: balíčkový --> balíčkovat	 pravidlo: A-ý --> V-at
novy par: bankrotový --> bankrotovat	 pravidlo: A-ý --> V-at
novy par: betonový --> betonovat	 pravidlo: A-ý --> V-at
novy par: blokový --> blokovat	 pravidlo: A-ý --> V-at
novy par: bodový --> bodovat	 pravidlo: A-ý --> V-at
novy par: bojový --> bojovat	 pravidlo: A-ý --> V-at
novy par: boxový --> boxovat	 pravidlo: A-ý --> V-at
novy par: brakový --> brakovat	 pravidlo: A-ý --> V-at
novy par: bubnový --> bubnovat	 pravidlo: A-ý --> V-at
novy par: bukový --> bukovat	 pravidlo: A-ý --> V-at
novy par: bytový --> bytovat	 pravidlo: A-ý --> V-at
novy par: cementový --> cementovat	 pravidlo: A-ý --> V-at
novy par: citový --> citovat	 pravidlo: A-ý --> V-at
novy par: cukrový --> cukrovat	 pravidlo: A-ý --> V-at
novy par: cyklový --> cyklovat	 pravidlo: A-ý --> V-at
novy par: čarový --> čarovat	 pravidlo: A-ý --> V-at
novy par: čárový --> čárovat	 pravidlo: A-ý --> V-at
novy par: časový --> časovat	 pravidlo: A-ý --> V-at
novy par: čepový --> čepovat	 pravidlo: A-ý --> V-at
novy par: černý --> černat	 pravidlo: A-ý --> V-at
novy par: červený --> červenat	 pravidlo: A-ý --> V-at
novy par: datlový --> datlovat	 pravidlo: A-ý --> V-at
novy par: datový --> datovat	 pravidlo: A-ý --> V-at
novy par: dávkový --> dávkovat	 pravidlo: A-ý --> V-at
novy par: debutový --> debutovat	 pravidlo: A-ý --> V-at
novy par: dehtový --> dehtovat	 pravidlo: A-ý --> V-at
novy par: dekový --> dekovat	 pravidlo: A-ý --> V-at
novy par: děrový --> děrovat	 pravidlo: A-ý --> V-at
novy par: designový --> designovat	 pravidlo: A-ý --> V-at
novy par: dluhový --> dluhovat	 pravidlo: A-ý --> V-at
novy par: dobrý --> dobrat	 pravidlo: A-ý --> V-at
novy par: dohodový --> dohodovat	 pravidlo: A-ý --> V-at
novy par: dokladový --> dokladovat	 pravidlo: A-ý --> V-at
novy par: dokový --> dokovat	 pravidlo: A-ý --> V-at
novy par: dokumentový --> dokumentovat	 pravidlo: A-ý --> V-at
novy par: dominový --> dominovat	 pravidlo: A-ý --> V-at
novy par: dopisový --> dopisovat	 pravidlo: A-ý --> V-at
novy par: dostihový --> dostihovat	 pravidlo: A-ý --> V-at
novy par: dotazový --> dotazovat	 pravidlo: A-ý --> V-at
novy par: dovozový --> dovozovat	 pravidlo: A-ý --> V-at
novy par: dozorový --> dozorovat	 pravidlo: A-ý --> V-at
novy par: drátový --> drátovat	 pravidlo: A-ý --> V-at
novy par: driftový --> driftovat	 pravidlo: A-ý --> V-at
novy par: drogový --> drogovat	 pravidlo: A-ý --> V-at
novy par: dutý --> dutat	 pravidlo: A-ý --> V-at
novy par: emailový --> emailovat	 pravidlo: A-ý --> V-at
novy par: fasetový --> fasetovat	 pravidlo: A-ý --> V-at
novy par: faxový --> faxovat	 pravidlo: A-ý --> V-at
novy par: fázový --> fázovat	 pravidlo: A-ý --> V-at
novy par: figurový --> figurovat	 pravidlo: A-ý --> V-at
novy par: filcový --> filcovat	 pravidlo: A-ý --> V-at
novy par: filmový --> filmovat	 pravidlo: A-ý --> V-at
novy par: filtrový --> filtrovat	 pravidlo: A-ý --> V-at
novy par: formátový --> formátovat	 pravidlo: A-ý --> V-at
novy par: formový --> formovat	 pravidlo: A-ý --> V-at
novy par: frázový --> frázovat	 pravidlo: A-ý --> V-at
novy par: fúzový --> fúzovat	 pravidlo: A-ý --> V-at
novy par: garážový --> garážovat	 pravidlo: A-ý --> V-at
novy par: glosový --> glosovat	 pravidlo: A-ý --> V-at
novy par: gumový --> gumovat	 pravidlo: A-ý --> V-at
novy par: hákový --> hákovat	 pravidlo: A-ý --> V-at
novy par: harpunový --> harpunovat	 pravidlo: A-ý --> V-at
novy par: hendikepový --> hendikepovat	 pravidlo: A-ý --> V-at
novy par: hláskový --> hláskovat	 pravidlo: A-ý --> V-at
novy par: hlasový --> hlasovat	 pravidlo: A-ý --> V-at
novy par: hlavičkový --> hlavičkovat	 pravidlo: A-ý --> V-at
novy par: hlídkový --> hlídkovat	 pravidlo: A-ý --> V-at
novy par: hodový --> hodovat	 pravidlo: A-ý --> V-at
novy par: hromový --> hromovat	 pravidlo: A-ý --> V-at
novy par: hydrogenový --> hydrogenovat	 pravidlo: A-ý --> V-at
novy par: chatový --> chatovat	 pravidlo: A-ý --> V-at
novy par: chutný --> chutnat	 pravidlo: A-ý --> V-at
novy par: chybový --> chybovat	 pravidlo: A-ý --> V-at
novy par: indexový --> indexovat	 pravidlo: A-ý --> V-at
novy par: kabelový --> kabelovat	 pravidlo: A-ý --> V-at
novy par: kádrový --> kádrovat	 pravidlo: A-ý --> V-at
novy par: kamenový --> kamenovat	 pravidlo: A-ý --> V-at
novy par: kartáčový --> kartáčovat	 pravidlo: A-ý --> V-at
novy par: kempový --> kempovat	 pravidlo: A-ý --> V-at
novy par: kličkový --> kličkovat	 pravidlo: A-ý --> V-at
novy par: klíčový --> klíčovat	 pravidlo: A-ý --> V-at
novy par: klonový --> klonovat	 pravidlo: A-ý --> V-at
novy par: klový --> klovat	 pravidlo: A-ý --> V-at
novy par: knihový --> knihovat	 pravidlo: A-ý --> V-at
novy par: kočkový --> kočkovat	 pravidlo: A-ý --> V-at
novy par: kódový --> kódovat	 pravidlo: A-ý --> V-at
novy par: kolíkový --> kolíkovat	 pravidlo: A-ý --> V-at
novy par: kolový --> kolovat	 pravidlo: A-ý --> V-at
novy par: komorový --> komorovat	 pravidlo: A-ý --> V-at
novy par: kompostový --> kompostovat	 pravidlo: A-ý --> V-at
novy par: koncový --> koncovat	 pravidlo: A-ý --> V-at
novy par: kontaktový --> kontaktovat	 pravidlo: A-ý --> V-at
novy par: konzervový --> konzervovat	 pravidlo: A-ý --> V-at
novy par: kormidlový --> kormidlovat	 pravidlo: A-ý --> V-at
