absolutno 	 absolut-n-o 	 absolut-no
zamyšlená 	 za-myšl-e-n-á 	 za-myšlen-á
zamyšlený 	 za-myšl-e-n-ý 	 za-myšlen-ý
zamyšleně 	 za-myšl-e-n-ě 	 za-myšl-en-ě
zaměstnancům 	 za-měst-n-an-c-ům 	 za-městnancům
zaměstnání 	 za-měst-n-á-n-í 	 za-městn-án-í
zanadávat 	 za-na-d-á-v-a-t 	 za-nad-á-v-a-t
zandat 	 za-nd-a-t 	 zand-a-t
zanedbávat 	 za-ne-db-á-v-a-t 	 za-nedb-á-v-a-t
zanést 	 za-nés-t 	 za-nést
zanýtovat 	 za-nýt-ova-t 	 za-nýt-ovat
zaplítatelnost 	 za-plít-a-teln-ost 	 za-plít-a-telnost
zapomnění 	 za-po-mn-ě-n-í 	 za-pomněn-í
zapomínat 	 za-pomín-a-t 	 za-pomín-at
započísti 	 za-po-číst-i 	 za-po-čísti
zapošít 	 za-po-ší-t 	 za-poší-t
zaprodávat 	 za-pro-d-á-v-a-t 	 za-prod-á-v-a-t
zapsal 	 za-ps-a-l 	 zaps-a-l
zapříčiněné 	 za-pří-čin-ěn-é 	 za-příčiněn-é
zardousil 	 za-rdous-i-l 	 za-rdous-il
zareagovat 	 za-re-ag-ova-t 	 za-reag-ova-t
zaregistrovat 	 za-registr-ova-t 	 zaregistr-ova-t
zarámovány 	 za-rám-ová-n-y 	 za-rám-ován-y
zasahují 	 za-sah-u-j-í 	 za-sah-uj-í
zasklít 	 za-skl-í-t 	 za-sklít
zasklívaně 	 za-skl-í-v-a-n-ě 	 za-skl-ív-a-n-ě
zaslíbeni 	 za-s-líb-en-i 	 zaslíbeni
zasmyčkování 	 za-smyč-k-ová-n-í 	 za-smyčk-ová-ní
zasršela 	 za-srš-e-l-a 	 za-srš-el-a
zastřelili 	 za-střel-i-l-i 	 za-střel-ili
zastřelovat 	 za-střel-ova-t 	 za-střel-ovat
zatelegrafovat 	 za-tele-graf-ova-t 	 za-telegrafovat
zatkneme 	 za-tk-ne-me 	 zatk-neme
zatrubňovávatelnost 	 za-trub-ň-ová-v-a-teln-ost 	 za-trubň-ová-v-a-telnost
zatvrzují 	 za-tvrz-u-j-í 	 za-tvrz-uj-í
zatáčka 	 za-táč-k-a 	 za-táčk-a
zatčený 	 za-tč-en-ý 	 za-tčen-ý
zaujatý 	 z-au-j-a-t-ý 	 zaujat-ý
zaujmouti 	 zau-jm-ou-ti 	 zauj-mouti
zavolám 	 za-vol-á-m 	 za-vol-ám
zavtipkovat 	 za-vtip-k-ova-t 	 za-vtipk-ovat
zavzdychnout 	 za-vz-dych-nou-t 	 za-vzdych-nout
zavést 	 za-vés-t 	 za-vést
zavřeny 	 za-vř-e-n-y 	 za-vřen-y
zazimovat 	 za-zim-ova-t 	 za-zim-ovat
zazátkovat 	 za-zá-tk-ova-t 	 za-zát-k-ova-t
začne 	 za-č-ne 	 začne
začpít 	 za-čp-í-t 	 začp-í-t
zašustět 	 za-šust-ě-t 	 za-šust-ět
zaťal 	 za-ť-a-l 	 zaťa-l
zblízka 	 z-blíz-k-a 	 zblízk-a
zbytečné 	 z-by-t-eč-n-é 	 zbyteč-n-é
zchlapčilý 	 z-chlap-č-i-l-ý 	 z-chlapčil-ý
zdaleka 	 z-dal-ek-a 	 zdalek-a
zdanitelná 	 z-dan-i-teln-á 	 zdan-i-teln-á
zdechat 	 z-dech-a-t 	 zdech-a-t
zdeformovat 	 z-de-form-ova-t 	 zdeform-ovat
zdegenerovat 	 z-de-gener-ova-t 	 zdegener-ovat
zdeničky 	 zden-ič-k-y 	 zden-ičk-y
zdeněk 	 zdeněk 	 zden-ěk
zdi 	 zd-i 	 zdi
zdobit 	 z-dob-i-t 	 zdob-i-t
zdokonalit 	 z-do-kon-a-l-i-t 	 z-do-kon-al-i-t
zdražovat 	 z-draž-ova-t 	 zdraž-ova-t
zdrchat 	 z-drch-a-t 	 zdrch-a-t
zdrhnout 	 z-drh-nou-t 	 zdrh-nou-t
zdrsnět 	 z-drs-n-ě-t 	 zdrs-n-ět
zdržoval 	 z-drž-ova-l 	 zdrž-ova-l
zdít 	 zd-í-t 	 zdí-t
zemím 	 zem-ím 	 zem-í-m
zemědělské 	 zem-ě-děl-sk-é 	 zeměděl-sk-é
zemědělských 	 zem-ě-děl-sk-ých 	 zeměd-ělsk-ých
zemřeli 	 ze-mř-e-l-i 	 ze-mř-e-li
zeptá 	 ze-pt-á 	 zept-á
zespolečenšťovat 	 ze-spol-eč-en-šť-ova-t 	 ze-společ-enšťovat
zesvětštět 	 ze-svět-št-ě-t 	 ze-s-vět-ště-t
zfalšování 	 z-falš-ová-n-í 	 zfalš-ová-n-í
zhanit 	 z-han-i-t 	 zhan-i-t
zhasl 	 z-has-l 	 z-hasl
zheroizovavší 	 z-hero-izova-vš-í 	 z-hero-izovavší
zhospodárnit 	 z-hospod-ár-n-i-t 	 z-hospodárnit
zhypnotizovat 	 z-hypn-ot-iz-ova-t 	 z-hypn-ot-izovat
zinventovat 	 z-invent-ova-t 	 zinvent-ovat
zjednat 	 z-jedn-a-t 	 z-jedn-at
zjednodušení 	 z-jedn-o-duš-en-í 	 z-jedn-odušení
zjednodušilo 	 z-jedn-o-duš-i-l-o 	 z-jedn-odušilo
zjízlivět 	 z-jíz-l-iv-ě-t 	 z-jízl-ivě-t
zkalit 	 z-kal-i-t 	 zkal-i-t
zkamenět 	 z-kamen-ě-t 	 zkamen-ě-t
zkombinovat 	 z-kombin-ova-t 	 zkombin-ovat
zkrácena 	 z-krác-en-a 	 zkrác-en-a
zkrácené 	 z-krác-en-é 	 zkrác-en-é
zkrásnět 	 z-krás-n-ě-t 	 z-krás-nět
zkypřovat 	 z-kypř-ova-t 	 z-kypř-ovat
zlatovlasé 	 zlat-o-vlas-é 	 zlat-ovlas-é
zloděj 	 zl-o-děj 	 zloděj
zlodějsku 	 zl-o-děj-sk-u 	 zloděj-sk-u
zločinem 	 zl-o-čin-e-m 	 zločin-em
zlákat 	 z-lák-a-t 	 zlák-a-t
zlézt 	 z-léz-t 	 zléz-t
zlí 	 zl-í 	 zlí
zmateného 	 z-mat-en-ého 	 zmat-en-ého
zmizely 	 z-miz-e-l-y 	 z-miz-el-y
zmiňuji 	 z-miň-uj-i 	 z-miň-uji
zmoralizování 	 z-moral-iz-ová-n-í 	 z-moral-iz-ován-í
zmramorovatěnost 	 z-mramor-ovat-ě-n-ost 	 z-mramor-ovatěnost
zmultiplicírovaný 	 z-multi-plic-ír-ova-n-ý 	 z-multi-p-licírovaný
zmátl 	 z-mát-l 	 zmát-l
zmírňovat 	 z-mír-ň-ova-t 	 z-mír-ň-ovat
zmýdelnět 	 z-mýdel-n-ě-t 	 z-mýdel-n-ět
změněném 	 z-měn-ěn-é-m 	 z-měn-ěn-ém
znalec 	 zn-a-l-ec 	 znalec
znali 	 zn-a-l-i 	 zna-l-i
znalých 	 zn-a-l-ých 	 zna-lých
znamenaly 	 znam-en-a-l-y 	 znamen-a-l-y
znesnadňovat 	 z-ne-snad-ň-ova-t 	 z-nesnad-ň-ovat
znesvětit 	 z-ne-svět-i-t 	 z-nesvět-i-t
zneužití 	 z-ne-u-ži-t-í 	 zneužit-í
znešvařena 	 z-ne-švař-en-a 	 z-nešvařen-a
znešvařovat 	 z-ne-švař-ova-t 	 z-nešvař-ovat
znovu 	 z-nov-u 	 znov-u
znovuoživenost 	 z-nov-u-o-živ-en-ost 	 z-novu-o-živ-enost
znásilňovat 	 z-ná-sil-ň-ova-t 	 znásil-ň-ovat
znásobit 	 z-násob-i-t 	 zná-sob-i-t
znáte 	 zn-á-te 	 zná-te
zněkolikanásobit 	 z-ně-kolik-a-násob-i-t 	 zně-kolik-a-násob-it
znět 	 zn-ě-t 	 zně-t
zobecnět 	 z-obec-n-ě-t 	 zobec-ně-t
zorat 	 z-or-a-t 	 zorat
zorganizovaný 	 z-organ-iz-ova-n-ý 	 z-organ-iz-ovan-ý
zosobnit 	 z-osob-n-i-t 	 zosob-n-i-t
zostoudit 	 z-o-stoud-i-t 	 zostoud-i-t
zouvat 	 zou-v-a-t 	 zouv-a-t
zpatlat 	 z-patl-a-t 	 zpatl-at
zpevnět 	 z-pevn-ě-t 	 zpev-n-ět
zplnomocňovat 	 z-pln-o-moc-ň-ova-t 	 z-plno-mocň-ova-t
zpocený 	 z-poc-en-ý 	 zpocen-ý
zpohlavkovat 	 z-po-hlav-k-ova-t 	 zpo-hlavk-ovat
zprostředkovatelské 	 z-pro-střed-k-ova-tel-sk-é 	 z-pro-střed-k-ova-t-elské
zprostředkuje 	 z-pro-střed-k-uje 	 z-prostředk-uje
zprůmyslnělost 	 z-prů-mysl-n-ě-l-ost 	 z-prům-yslnělost
zpuchlý 	 z-puch-l-ý 	 zpuch-l-ý
zpustošit 	 z-pust-oš-i-t 	 zpustoš-i-t
zpívá 	 z-pí-v-á 	 zpív-á
zpět 	 zpět 	 zpě-t
zpěvačka 	 z-pě-v-a-č-k-a 	 zpěv-ačk-a
zpřevracovat 	 z-pře-vrac-ova-t 	 z-převrac-ovat
zpřísnět 	 z-přísn-ě-t 	 z-přís-n-ě-t
zrcadle 	 zrc-a-dl-e 	 zrcadle
zregenerovat 	 z-re-gener-ova-t 	 zregener-ovat
zrentgenovat 	 z-rentgen-ova-t 	 zrentgen-ova-t
ztenčovat 	 z-ten-č-ova-t 	 z-tenč-ova-t
ztotožnit 	 z-to-tož-n-i-t 	 ztotož-n-i-t
ztotožňovat 	 z-to-tož-ň-ova-t 	 z-totož-ň-ovat
ztratiti 	 z-trat-i-ti 	 z-trat-iti
ztroskotat 	 z-trosk-ot-a-t 	 z-troskota-t
ztéci 	 z-téc-i 	 ztéc-i
zutrhat 	 z-u-trh-a-t 	 zutrh-a-t
zveřejněné 	 z-veřej-n-ě-n-é 	 zveřejn-ěn-é
zveřejnění 	 z-veřej-n-ě-n-í 	 zveřejn-ěn-í
zviklat 	 z-vikl-a-t 	 zviklat
zvládnou 	 z-vlád-n-ou 	 zvlád-n-ou
zvláčet 	 z-vláč-e-t 	 zvláč-e-t
zvláště 	 zvláště 	 zvlášt-ě
zvolal 	 z-vol-a-l 	 zvol-a-l
zvolena 	 z-vol-en-a 	 zvolen-a
zvoleny 	 z-vol-en-y 	 zvolen-y
zvolnit 	 z-vol-n-i-t 	 zvol-n-i-t
zvroucnit 	 z-vr-ou-c-n-i-t 	 zvrouc-n-i-t
zvrtnout 	 z-vrt-nou-t 	 zvrt-nou-t
zvyky 	 z-vyk-y 	 zvyk-y
zválcovat 	 z-válc-ova-t 	 zválc-ova-t
zvídavější 	 z-víd-a-v-ějš-í 	 zvíd-a-v-ějš-í
zvýhodnění 	 z-vý-hod-n-ěn-í 	 zvýhodněn-í
zvýhodňovat 	 z-vý-hod-ň-ova-t 	 z-výhod-ň-ovat
zvěčnit 	 z-věč-n-i-t 	 zvěč-n-it
zádech 	 zád-e-ch 	 zádech
zájemci 	 zá-jem-c-i 	 zá-jemc-i
základem 	 zá-klad-e-m 	 zá-klad-em
zákoníku 	 zá-kon-ík-u 	 zákon-ík-u
zármutku 	 zá-rmut-k-u 	 zá-rmutk-u
zástupce 	 zá-stup-c-e 	 zá-stupc-e
zástupci 	 zá-stup-c-i 	 zá-stupc-i
zástěrce 	 zá-stěr-c-e 	 zá-stěrc-e
zástěrka 	 zá-stěr-k-a 	 zástěrk-a
zátočiny 	 zá-toč-in-y 	 zátoč-in-y
závad 	 zá-vad 	 závad
závod 	 zá-vod 	 závod
závojnatkách 	 zá-voj-n-at-k-á-ch 	 zá-voj-natk-ách
zúžit 	 z-úž-i-t 	 zúž-i-t
zčásti 	 z-část-i 	 zčásti
zřasovat 	 z-řas-ova-t 	 zřas-ova-t
zřetelně 	 zř-e-teln-ě 	 zře-telně
zůstal 	 z-ů-sta-l 	 zůsta-l
zůstalo 	 zů-sta-l-o 	 zůsta-l-o
zůstanou 	 z-ů-sta-n-ou 	 zůsta-n-ou
úchvatná 	 ú-chvat-n-á 	 úchvat-n-á
úcta 	 ú-ct-a 	 úct-a
újezdě 	 ú-jezd-ě 	 újezd-ě
újmě 	 ú-jm-ě 	 újm-ě
úplný 	 ú-pln-ý 	 úpln-ý
úpravě 	 ú-prav-ě 	 úprav-ě
ústit 	 úst-i-t 	 ústi-t
útulný 	 ú-tul-n-ý 	 útul-n-ý
úvěrování 	 ú-věr-ová-n-í 	 úvěr-ová-n-í
úvěru 	 ú-věr-u 	 úvěr-u
úzká 	 úz-k-á 	 úzk-á
účasten 	 ú-čast-en 	 účasten
účelu 	 ú-čel-u 	 účel-u
účetních 	 ú-čet-n-ích 	 účet-n-ích
účinky 	 ú-čin-k-y 	 účin-k-y
účinnosti 	 ú-čin-n-ost-i 	 účin-n-osti
účinností 	 ú-čin-n-ost-í 	 účin-n-ost-í
účtu 	 ú-čt-u 	 účt-u
účty 	 ú-čt-y 	 účt-y
úžasem 	 ú-žas-e-m 	 ú-žas-em
čepice 	 čep-ic-e 	 čepice
čepici 	 čep-ic-i 	 čepic-i
černosrstý 	 čern-o-srst-ý 	 čern-osrst-ý
černým 	 čern-ý-m 	 čer-n-ým
černýšovice 	 čern-ýš-ov-ic-e 	 černýšovice
čerstvého 	 čerstv-ého 	 čerstvého
čerti 	 čert-i 	 čerti
českomalínský 	 česk-o-malín-sk-ý 	 čes-k-omalínsk-ý
českou 	 čes-k-ou 	 česk-ou
českého 	 čes-k-é-ho 	 česk-ého
českém 	 čes-k-ém 	 česk-ém
českým 	 čes-k-ým 	 česk-ým
češtiny 	 češ-t-in-y 	 češt-in-y
činorodé 	 čin-o-rod-é 	 činorod-é
čintamani 	 čintaman-i 	 čintamani
čistokrevnou 	 čist-o-krev-n-ou 	 čistokrevnou
článkem 	 člán-k-e-m 	 člán-k-em
čokoládou 	 čokolád-ou 	 čokoládou
čsfr 	 č-s-f-r 	 čsfr
čsn 	 č-s-n 	 čsn
čssr 	 č-s-s-r 	 čssr
čtvrtletně 	 čtvrt-let-n-ě 	 čtvrtlet-n-ě
čtvrtletí 	 čtvrt-let-í 	 čtvrtlet-í
čtěte 	 čt-ě-te 	 čtěte
čubička 	 čub-ič-k-a 	 čub-ičk-a
čubičku 	 čub-ič-k-u 	 čub-ičk-u
čuchnul 	 čuch-nu-l 	 čuch-nul
čvaňhat 	 čvaňh-a-t 	 čvaňhat
čzpi 	 č-z-p-i 	 čzp-i
částice 	 část-ic-e 	 část-ice
částka 	 část-k-a 	 částk-a
částku 	 část-k-u 	 částk-u
čímkoliv 	 č-í-m-koliv 	 čímkoliv
řepkového 	 řep-k-ov-ého 	 řep-k-ového
řezání 	 řez-á-n-í 	 řezá-n-í
říjet 	 říj-e-t 	 říje-t
řízen 	 říz-en 	 řízen
šel 	 še-l 	 šel
šem 	 š-em 	 šem
šeptnout 	 šept-nou-t 	 šept-nout
šestigólový 	 šest-i-gól-ov-ý 	 šestigólový
šifrovaných 	 šifr-ova-n-ý-ch 	 šifr-ova-n-ých
šimůnek 	 šimůn-ek 	 šimůnek
šitinův 	 šitin-ův 	 šitinův
školák 	 škol-ák 	 školák
škudlit 	 škud-l-i-t 	 škudl-i-t
škvrně 	 škvr-n-ě 	 škvrn-ě
šmejkal 	 šmejkal 	 šmejk-al
šohajky 	 šohaj-k-y 	 šohajk-y
špicovat 	 špic-ova-t 	 špic-ovat
špionáže 	 špion-áž-e 	 špionáže
špičatit 	 špič-at-i-t 	 špičat-i-t
šplouná 	 šplou-n-á 	 šploun-á
štít 	 štít 	 ští-t
šíblová 	 šíbl-ová 	 šíbl-ov-á
šťastná 	 šťast-n-á 	 šťastn-á
ťápnout 	 ťáp-nou-t 	 ťáp-nout
žehravost 	 žehr-a-v-ost 	 žehrav-ost
žejbrovat 	 žejbr-ova-t 	 žejbr-ovat
železná 	 želez-n-á 	 železn-á
železárnách 	 želez-árn-ách 	 železárn-ách
ženatý 	 žen-at-ý 	 ženat-ý
žernově 	 žernov-ě 	 žer-n-ově
žhavět 	 žh-av-ě-t 	 žhav-ě-t
živ 	 ži-v 	 živ
živelná 	 ži-v-el-n-á 	 živeln-á
živnostenského 	 ži-v-n-ost-ensk-ého 	 živ-nosten-ského
životními 	 ži-v-ot-n-í-m-i 	 živ-ot-n-ími
životě 	 ži-v-ot-ě 	 živ-ot-ě
žižkovák 	 žižkov-ák 	 žižk-ovák
žlábkovávající 	 žláb-k-ová-v-aj-íc-í 	 žláb-k-ová-v-aj-ící
župka 	 žup-k-a 	 župk-a
žádostmi 	 žád-ost-mi 	 žád-ostmi
žádoucí 	 žád-ou-c-í 	 žád-ouc-í
